Number of Beds,Number of Paths,Area of Apartment,Location,Price,Links,Seller Name,Seller Link
3 Beds,2 Baths,176 Sq. M.,"Smoha, Alexandria","8,200,000",https://www.bayut.eg/en/property/details-502680253.html,Thourya Mohsen,nan
3 Beds,2 Baths,176 Sq. M.,"Smoha, Alexandria","8,200,000",https://www.bayut.eg/en/property/details-502680253.html,Thourya Mohsen,nan
5 Beds,5 Baths,887 Sq. M.,"King Mariout, Alexandria","35,000,000",https://www.bayut.eg/en/property/details-502680221.html,Thourya Mohsen,nan
5 Beds,5 Baths,887 Sq. M.,"King Mariout, Alexandria","35,000,000",https://www.bayut.eg/en/property/details-502680221.html,Thourya Mohsen,nan
3 Beds,3 Baths,220 Sq. M.,"Smoha, Alexandria","14,700,000",https://www.bayut.eg/en/property/details-502678530.html,Mahmoud Becher,nan
3 Beds,3 Baths,220 Sq. M.,"Smoha, Alexandria","14,700,000",https://www.bayut.eg/en/property/details-502678530.html,Mahmoud Becher,nan
3 Beds,2 Baths,175 Sq. M.,"Saba Pasha, Alexandria","5,500,000",https://www.bayut.eg/en/property/details-502676419.html,Amr Elgendy,https://www.bayut.eg/en/brokers/amr-elgendy-00000000-441f-801f-8000-024213371337.html
3 Beds,2 Baths,175 Sq. M.,"Saba Pasha, Alexandria","5,500,000",https://www.bayut.eg/en/property/details-502676419.html,Amr Elgendy,https://www.bayut.eg/en/brokers/amr-elgendy-00000000-441f-801f-8000-024213371337.html
3 Beds,2 Baths,203 Sq. M.,"Laurent, Alexandria","5,350,000",https://www.bayut.eg/en/property/details-502673424.html,Abdallah Mahmoud,https://www.bayut.eg/en/brokers/abdallah-mahmoud-00000000-385c-801f-8000-024213371337.html
3 Beds,2 Baths,203 Sq. M.,"Laurent, Alexandria","5,350,000",https://www.bayut.eg/en/property/details-502673424.html,Abdallah Mahmoud,https://www.bayut.eg/en/brokers/abdallah-mahmoud-00000000-385c-801f-8000-024213371337.html
3 Beds,1 Bath,161 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502668953.html,Tasheed,nan
3 Beds,1 Bath,161 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502668953.html,Tasheed,nan
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502668826.html,Tasheed,nan
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502668826.html,Tasheed,nan
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502668800.html,Tasheed,nan
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502668800.html,Tasheed,nan
3 Beds,1 Bath,169 Sq. M.,"Murooj, Smoha, Alexandria","8,788,000",https://www.bayut.eg/en/property/details-502669012.html,Tasheed,nan
3 Beds,1 Bath,169 Sq. M.,"Murooj, Smoha, Alexandria","8,788,000",https://www.bayut.eg/en/property/details-502669012.html,Tasheed,nan
3 Beds,2 Baths,187 Sq. M.,"Latin District, Raml Station, Alexandria","9,150,000",https://www.bayut.eg/en/property/details-502663851.html,Mohamed Farag Allah,https://www.bayut.eg/en/brokers/mohamed-farag-allah-00000000-336c-801f-8000-024213371337.html
3 Beds,2 Baths,187 Sq. M.,"Latin District, Raml Station, Alexandria","9,150,000",https://www.bayut.eg/en/property/details-502663851.html,Mohamed Farag Allah,https://www.bayut.eg/en/brokers/mohamed-farag-allah-00000000-336c-801f-8000-024213371337.html
3 Beds,1 Bath,130 Sq. M.,"Stanley, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502676384.html,Omar Hosni,https://www.bayut.eg/en/brokers/omar-hosni-00000000-2248-801f-8000-024213371337.html
3 Beds,1 Bath,130 Sq. M.,"Stanley, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502676384.html,Omar Hosni,https://www.bayut.eg/en/brokers/omar-hosni-00000000-2248-801f-8000-024213371337.html
3 Beds,1 Bath,135 Sq. M.,"Smoha, Alexandria","3,700,000",https://www.bayut.eg/en/property/details-502664913.html,Marwan Elhoseany,https://www.bayut.eg/en/brokers/marwan-elhoseany-00000000-14a7-801f-8000-024213371337.html
3 Beds,1 Bath,135 Sq. M.,"Smoha, Alexandria","3,700,000",https://www.bayut.eg/en/property/details-502664913.html,Marwan Elhoseany,https://www.bayut.eg/en/brokers/marwan-elhoseany-00000000-14a7-801f-8000-024213371337.html
4 Beds,2 Baths,160 Sq. M.,"Glim, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502618164.html,Amr Eltarawy,https://www.bayut.eg/en/brokers/amr-eltarawy-00000000-3f6b-801f-8000-024213371337.html
2 Beds,1 Bath,110 Sq. M.,"Moharam Bik, Alexandria","2,150,000",https://www.bayut.eg/en/property/details-502665850.html,Ehab Elsayed,nan
2 Beds,1 Bath,110 Sq. M.,"Moharam Bik, Alexandria","2,150,000",https://www.bayut.eg/en/property/details-502665850.html,Ehab Elsayed,nan
2 Beds,1 Bath,110 Sq. M.,"Moharam Bik, Alexandria","2,150,000",https://www.bayut.eg/en/property/details-502665850.html,Ehab Elsayed,nan
2 Beds,1 Bath,100 Sq. M.,"Kilo 21, Agami, Alexandria","1,950,000",https://www.bayut.eg/en/property/details-502666010.html,R E M Real Estate,nan
2 Beds,1 Bath,100 Sq. M.,"Kilo 21, Agami, Alexandria","1,950,000",https://www.bayut.eg/en/property/details-502666010.html,R E M Real Estate,nan
2 Beds,1 Bath,100 Sq. M.,"Smoha, Alexandria","3,200,000",https://www.bayut.eg/en/property/details-502671820.html,El Fardous,nan
2 Beds,1 Bath,100 Sq. M.,"Smoha, Alexandria","3,200,000",https://www.bayut.eg/en/property/details-502671820.html,El Fardous,nan
2 Beds,1 Bath,90 Sq. M.,"Maamoura, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502669626.html,Adel Mohamed,nan
2 Beds,1 Bath,90 Sq. M.,"Maamoura, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502669626.html,Adel Mohamed,nan
2 Beds,1 Bath,125 Sq. M.,"Sidi Beshr, Alexandria","2,200,000",https://www.bayut.eg/en/property/details-502659964.html,Adel Mohamed,nan
2 Beds,1 Bath,125 Sq. M.,"Sidi Beshr, Alexandria","2,200,000",https://www.bayut.eg/en/property/details-502659964.html,Adel Mohamed,nan
3 Beds,3 Baths,210 Sq. M.,"Borg al-Arab, Alexandria","5,700,000",https://www.bayut.eg/en/property/details-502658959.html,Mena Mohamed,nan
3 Beds,3 Baths,210 Sq. M.,"Borg al-Arab, Alexandria","5,700,000",https://www.bayut.eg/en/property/details-502658959.html,Mena Mohamed,nan
3 Beds,1 Bath,146 Sq. M.,"Mandara, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502657330.html,Saudi Naba Group,nan
3 Beds,1 Bath,146 Sq. M.,"Mandara, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502657330.html,Saudi Naba Group,nan
3 Beds,1 Bath,165 Sq. M.,"San Stefano, Alexandria","5,200,000",https://www.bayut.eg/en/property/details-502655770.html,Mohamed Farag Allah,https://www.bayut.eg/en/brokers/mohamed-farag-allah-00000000-336c-801f-8000-024213371337.html
3 Beds,1 Bath,165 Sq. M.,"San Stefano, Alexandria","5,200,000",https://www.bayut.eg/en/property/details-502655770.html,Mohamed Farag Allah,https://www.bayut.eg/en/brokers/mohamed-farag-allah-00000000-336c-801f-8000-024213371337.html
3 Beds,1 Bath,163 Sq. M.,"Murooj, Smoha, Alexandria","9,128,000",https://www.bayut.eg/en/property/details-502668675.html,Tasheed,nan
3 Beds,1 Bath,163 Sq. M.,"Murooj, Smoha, Alexandria","9,128,000",https://www.bayut.eg/en/property/details-502668675.html,Tasheed,nan
2 Beds,1 Bath,90 Sq. M.,"Maamoura, Alexandria","4,200,000",https://www.bayut.eg/en/property/details-502654951.html,Adel Mohamed,nan
2 Beds,1 Bath,90 Sq. M.,"Maamoura, Alexandria","4,200,000",https://www.bayut.eg/en/property/details-502654951.html,Adel Mohamed,nan
4 Beds,5 Baths,500 Sq. M.,"King Mariout, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502652328.html,فهدرمضان محمود,nan
4 Beds,5 Baths,500 Sq. M.,"King Mariout, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502652328.html,فهدرمضان محمود,nan
4 Beds,3 Baths,212 Sq. M.,"Murooj, Smoha, Alexandria","12,720,000",https://www.bayut.eg/en/property/details-502668729.html,Tasheed,nan
4 Beds,3 Baths,212 Sq. M.,"Murooj, Smoha, Alexandria","12,720,000",https://www.bayut.eg/en/property/details-502668729.html,Tasheed,nan
4 Beds,3 Baths,212 Sq. M.,"Murooj, Smoha, Alexandria","12,720,000",https://www.bayut.eg/en/property/details-502668757.html,Tasheed,nan
4 Beds,3 Baths,212 Sq. M.,"Murooj, Smoha, Alexandria","12,720,000",https://www.bayut.eg/en/property/details-502668757.html,Tasheed,nan
4 Beds,4 Baths,450 Sq. M.,"Stanley, Alexandria","48,000,000",https://www.bayut.eg/en/property/details-502641945.html,User 7Lj3Kh,nan
4 Beds,4 Baths,450 Sq. M.,"Stanley, Alexandria","48,000,000",https://www.bayut.eg/en/property/details-502641945.html,User 7Lj3Kh,nan
3 Beds,1 Bath,135 Sq. M.,"Laurent, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502655955.html,Mohamed Farag Allah,https://www.bayut.eg/en/brokers/mohamed-farag-allah-00000000-336c-801f-8000-024213371337.html
3 Beds,1 Bath,135 Sq. M.,"Laurent, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502655955.html,Mohamed Farag Allah,https://www.bayut.eg/en/brokers/mohamed-farag-allah-00000000-336c-801f-8000-024213371337.html
3 Beds,3 Baths,184 Sq. M.,"Alex West, Agami, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502678322.html,Mahmoud Attia,nan
3 Beds,3 Baths,184 Sq. M.,"Alex West, Agami, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502678322.html,Mahmoud Attia,nan
3 Beds,3 Baths,161 Sq. M.,"Orouba Skyline, Smoha, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502655189.html,Tamer El-Naggar,nan
3 Beds,3 Baths,161 Sq. M.,"Orouba Skyline, Smoha, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502655189.html,Tamer El-Naggar,nan
3 Beds,3 Baths,280 Sq. M.,"Nakheel, Alexandria","1,650,000",https://www.bayut.eg/en/property/details-502672749.html,Waleed Silver 25,nan
3 Beds,3 Baths,280 Sq. M.,"Nakheel, Alexandria","1,650,000",https://www.bayut.eg/en/property/details-502672749.html,Waleed Silver 25,nan
1 Bed,1 Bath,70 Sq. M.,"Asafra, Alexandria","2,500,000",https://www.bayut.eg/en/property/details-502659057.html,Yasmin,nan
1 Bed,1 Bath,70 Sq. M.,"Asafra, Alexandria","2,500,000",https://www.bayut.eg/en/property/details-502659057.html,Yasmin,nan
3 Beds,1 Bath,166 Sq. M.,"Murooj, Smoha, Alexandria","8,964,000",https://www.bayut.eg/en/property/details-502669601.html,Tasheed,nan
3 Beds,1 Bath,166 Sq. M.,"Murooj, Smoha, Alexandria","8,964,000",https://www.bayut.eg/en/property/details-502669601.html,Tasheed,nan
3 Beds,1 Bath,149 Sq. M.,"Murooj, Smoha, Alexandria","7,450,000",https://www.bayut.eg/en/property/details-502669479.html,Tasheed,nan
3 Beds,1 Bath,149 Sq. M.,"Murooj, Smoha, Alexandria","7,450,000",https://www.bayut.eg/en/property/details-502669479.html,Tasheed,nan
3 Beds,2 Baths,140 Sq. M.,"Smoha, Alexandria","2,400,000",https://www.bayut.eg/en/property/details-502667750.html,Waleed Silver 25,nan
3 Beds,2 Baths,140 Sq. M.,"Smoha, Alexandria","2,400,000",https://www.bayut.eg/en/property/details-502667750.html,Waleed Silver 25,nan
3 Beds,1 Bath,120 Sq. M.,"Agami, Alexandria","1,500,000",https://www.bayut.eg/en/property/details-502666713.html,خالد جاد,nan
3 Beds,1 Bath,120 Sq. M.,"Agami, Alexandria","1,500,000",https://www.bayut.eg/en/property/details-502666713.html,خالد جاد,nan
3 Beds,2 Baths,193 Sq. M.,"Smoha, Alexandria","5,250,000",https://www.bayut.eg/en/property/details-502618304.html,Mohamed Elshorbagy,https://www.bayut.eg/en/brokers/mohamed-elshorbagy-00000000-1769-801f-8000-024213371337.html
3 Beds,2 Baths,193 Sq. M.,"Smoha, Alexandria","5,250,000",https://www.bayut.eg/en/property/details-502618304.html,Mohamed Elshorbagy,https://www.bayut.eg/en/brokers/mohamed-elshorbagy-00000000-1769-801f-8000-024213371337.html
2 Beds,1 Bath,125 Sq. M.,"Sporting, Alexandria","3,800,000",https://www.bayut.eg/en/property/details-502042344.html,Mohamed Abdelsalam,https://www.bayut.eg/en/brokers/mohamed-abdelsalam-c3435840-305e-4d4f-a80e-9362f9508e7c.html
3 Beds,2 Baths,140 Sq. M.,"San Stefano, Alexandria","15,500,000",https://www.bayut.eg/en/property/details-205985048.html,Waleed Silver 25,nan
3 Beds,2 Baths,140 Sq. M.,"San Stefano, Alexandria","15,500,000",https://www.bayut.eg/en/property/details-205985048.html,Waleed Silver 25,nan
3 Beds,2 Baths,140 Sq. M.,"San Stefano, Alexandria","15,500,000",https://www.bayut.eg/en/property/details-205985048.html,Waleed Silver 25,nan
3 Beds,2 Baths,165 Sq. M.,"Miami, Alexandria","3,850,000",https://www.bayut.eg/en/property/details-502661646.html,Hany Alsafir,nan
3 Beds,2 Baths,165 Sq. M.,"Miami, Alexandria","3,850,000",https://www.bayut.eg/en/property/details-502661646.html,Hany Alsafir,nan
2 Beds,2 Baths,133 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502637116.html,Ingy Ashraf,nan
2 Beds,2 Baths,133 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502637116.html,Ingy Ashraf,nan
3 Beds,1 Bath,168 Sq. M.,"Murooj, Smoha, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502668920.html,Tasheed,nan
3 Beds,1 Bath,168 Sq. M.,"Murooj, Smoha, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502668920.html,Tasheed,nan
3 Beds,2 Baths,153 Sq. M.,"Alex West, Agami, Alexandria","5,850,000",https://www.bayut.eg/en/property/details-502604233.html,Amin Hawary,https://www.bayut.eg/en/brokers/amin-hawary-27a0c3c0-8f94-4577-923a-4922d3b1e256.html
3 Beds,2 Baths,153 Sq. M.,"Alex West, Agami, Alexandria","5,850,000",https://www.bayut.eg/en/property/details-502604233.html,Amin Hawary,https://www.bayut.eg/en/brokers/amin-hawary-27a0c3c0-8f94-4577-923a-4922d3b1e256.html
3 Beds,3 Baths,206 Sq. M.,"Sawari, Moharam Bik, Alexandria","8,500,000",https://www.bayut.eg/en/property/details-502606397.html,Habiba Belal,https://www.bayut.eg/en/brokers/habiba-belal-00000000-49cf-801f-8000-024213371337.html
